word,meaning,image 
turgid,"{'Adjective': ['ostentatiously lofty in style', 'abnormally distended especially by fluids or gas', 'or puffy']}",
turmoil,"{'Noun': ['a violent disturbance', 'violent agitation', 'disturbance usually in protest']}",
turmoil,"{'Noun': ['a violent disturbance', 'violent agitation', 'disturbance usually in protest']}",
turquoise,"{'Noun': ['a blue to grey green mineral consisting of copper aluminum phosphate', 'a shade of blue tinged with green']}",
ulterior,"{'Adjective': ['lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed', 'beyond or outside an area of immediate interest; remote', 'coming at a subsequent time or stage']}",
wltimatum,,
uncanny,"{'Adjective': ['suggesting the operation of supernatural influences', 'surpassing the ordinary or normal']}",
uncoutn,,
underbid,"{'Verb': ['bid (a hand of cards', 'bid lower than a competing bidder', 'bid too low']}",
z,"{'Noun': ['the ending of a series or sequence', 'the 26th letter of the Roman alphabet']}",
undermine,"{'Verb': ['destroy property or hinder normal operations', 'hollow out as if making a cave or opening']}",
undertone,"{'Noun': ['a quiet or hushed tone of voice', 'a subdued emotional quality underlying an utterance; implicit meaning', 'a pale or subdued color']}",
undo,"{'Verb': ['cancel, annul, or reverse an action or its effect', 'deprive of certain characteristics', 'cause the ruin or downfall of', 'cause to become loose', 'remove the outer cover or wrapping of']}",
uncarth,,
unexcepntionable,,
uncxceptional,,
unfeigned,{'Adjective': ['not pretended; sincerely felt or expressed']},
unilateral,"{'Adjective': ['involving only one part or side', 'tracing descent from either the paternal or the maternal line only']}",
unison,"{'Noun': ['corresponding exactly', 'occurring together or simultaneously', '(music']}",
dcnted,,
unrivalled,{'Adjective': ['eminent beyond or above comparison']},
unruffled,"{'Adjective': ['free from emotional agitation or nervous tension', '(of a body of water']}",
unruly,"{'Adjective': ['noisy and lacking in restraint or discipline', 'unwilling to submit to authority', 'incapable of being controlled']}",
unscatheo,,
ungaamiy,,
untoward,"{'Adjective': ['not in keeping with accepted standards of what is right or proper in polite society', 'contrary to your interests or welfare']}",
upheaval,"{'Noun': ['a state of violent disturbance and disorder (as in politics or social conditions generally', 'a violent disturbance', '(geology', 'as in the process of mountain building', 'disturbance usually in protest']}",
uphill,"{'Noun': ['the upward slope of a hill'], 'Adjective': ['sloping upward'], 'Adverb': ['against difficulties', 'upward on a hill or incline']}",
uprising,"{'Noun': ['organized opposition to authority; a conflict in which one faction tries to wrest control from another'], 'Verb': ['come into existence; take on form or shape', 'ascend as a sound', 'rise up as in fear', ""rise to one's feet"", 'come up, of celestial bodies', 'move upward', 'return from the dead', 'get up and out of bed']}",
uproar,"{'Noun': ['a state of commotion and noise and confusion', 'loud confused noise from many sources']}",
upsurge,"{'Noun': ['a sudden forceful flow', 'a sudden or abrupt strong increase']}",
urbane,{'Adjective': ['showing a high degree of refinement and the assurance that comes from wide social experience']},
urchin,{'Noun': ['poor and often mischievous city child']},
usutp,,
utopia,"{'Noun': ['a book written by Sir Thomas More (1516', 'ideally perfect state; especially in its social and political and moral aspects', 'a work of fiction describing a utopia', 'an imaginary place considered to be perfect or ideal']}",
vacillation,"{'Noun': ['indecision in speech or action', 'changing location by moving back and forth']}",
vain,"{'Adjective': ['characteristic of false pride; having an exaggerated sense of self-importance', 'unproductive of success']}",
valiant,{'Adjective': ['having or showing valor']},
vamd,,
yandal,,
vanity,"{'Noun': ['feelings of excessive pride', 'the quality of being valueless or futile', 'the trait of being unduly vain and conceited; false pride', 'low table with mirror or mirrors where one sits while dressing or applying makeup']}",
varish,,
vuct,,
vendetta,{'Noun': ['a feud in which members of the opposing parties murder each other']},
venom,"{'Noun': ['toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions', 'feeling a need to see others suffer']}",
yeracitv,,
verdant,{'Adjective': ['characterized by abundance of verdure']},
verdict,{'Noun': []},
ice,"{'Noun': ['water frozen in the solid state', 'the frozen part of a body of water', 'diamonds', 'a flavored sugar topping used to coat and decorate cakes', 'a frozen dessert with fruit flavoring (especially one containing no milk', 'an amphetamine derivative (trade name Methedrine', 'a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine', 'a rink with a floor of ice for ice hockey or ice skating'], 'Verb': ['decorate with frosting', 'cause to become ice or icy', 'put ice on or put on ice']}",
vcnyc,,
vestige,{'Noun': ['an indication that something has been present']},
veterinary,"{'Noun': ['a doctor who practices veterinary medicine'], 'Adjective': ['of or relating to veterinarians or veterinary medicine']}",
vice,"{'Noun': ['moral weakness', 'a specific form of evildoing']}",
vicious,"{'Adjective': ['(of persons or their actions', 'having the nature of vice', 'bringing or deserving severe rebuke or censure', 'marked by deep ill will; deliberately harmful']}",
vigilance,"{'Noun': ['the process of paying close and continuous attention', 'vigilant attentiveness']}",
s,"{'Noun': [""1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites"", 'an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions', 'the cardinal compass point that is at 180 degrees', 'a unit of conductance equal to the reciprocal of an ohm', 'the 19th letter of the Roman alphabet', '(thermodynamics']}",
vigilant,{'Adjective': ['carefully observant or attentive; on the lookout for possible danger']},
vigorous,"{'Adjective': ['characterized by forceful and energetic action or activity', 'strong and active physically or mentally']}",
vilc,,
vilify,{'Verb': ['spread negative information about']},
vindicate,"{'Verb': ['show to be right by providing justification or proof', 'maintain, uphold, or defend', 'clear of accusation, blame, suspicion, or doubt with supporting proof']}",
vindictive,"{'Adjective': ['disposed to seek revenge or intended for revenge', 'showing malicious ill will and a desire to hurt; motivated by spite']}",
vintage,"{'Noun': [""a season's yield of wine from a vineyard"", 'the oldness of wines']}",
virile,"{'Adjective': ['characterized by energy and vigor', 'characteristic of a man', '(of a male']}",
visceral,"{'Adjective': ['relating to or affecting the viscera', 'obtained through intuition rather than from reasoning or observation']}",
viscovs,,
vitiate,"{'Verb': ['corrupt morally or by intemperance or sensuality', 'make imperfect', 'take away the legal force of or render ineffective']}",
vivacious,{'Adjective': ['vigorous and animated']},
volatile,"{'Noun': ['a volatile substance; a substance that changes readily from solid or liquid to a vapor'], 'Adjective': ['evaporating readily at normal temperatures and pressures', 'liable to lead to sudden change or violence', 'marked by erratic changeableness in affections or attachments', 'tending to vary often or widely']}",
volition,"{'Noun': ['the capability of conscious choice and decision and intention', 'the act of making a choice']}",
voluptuous,"{'Adjective': ['having strong sexual appeal', ""(of a woman's body"", 'displaying luxury and furnishing gratification to the senses']}",
ij,,
wag,"{'Noun': ['a witty amusing person who makes jokes', 'causing to move repeatedly from side to side'], 'Verb': ['move from side to side']}",
warmonger,{'Noun': ['a person who advocates war or warlike policies']},
hos,{'Noun': ['a trivalent metallic element of the rare earth group; occurs together with yttrium; forms highly magnetic compounds']},
watant,,
wean,"{'Verb': ['gradually deprive (infants and young mammals', 'detach the affections of']}",
whimsical,{'Adjective': ['determined by chance or impulse or whim rather than by necessity or reason']},
wince,"{'Noun': ['the facial expression of sudden pain', 'a reflex response to sudden pain'], 'Verb': ['draw back, as with fear or pain', 'make a face indicating disgust or dislike']}",
woo,"{'Verb': [""seek someone's favor"", 'make amorous advances towards']}",
hi,"{'Noun': ['an expression of greeting', 'a state in the United States in the central Pacific on the Hawaiian Islands', 'Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409', '1372-1415']}",
wranqic,,
mmi,,
writ,{'Noun': []},
yarn,"{'Noun': ['the act of giving an account describing incidents or a course of events', 'a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.'], 'Verb': ['tell or spin a yarn']}",
zeai,,
zonith,,
zest,"{'Noun': ['vigorous and enthusiastic enjoyment', 'a tart spicy quality'], 'Verb': ['add herbs or spices to']}",
abashed,"{'Verb': ['cause to be embarrassed; cause to feel self-conscious'], 'Adjective': ['feeling or caused to feel ill at ease or self-conscious or ashamed']}",
abeyance,{'Noun': ['temporary cessation or suspension']},
abject,"{'Adjective': ['of the most contemptible kind', 'most unfortunate or miserable', 'showing utter resignation or hopelessness', 'showing humiliation or submissiveness']}",
abnegation,"{'Noun': ['the denial and rejection of a doctrine or belief', 'renunciation of your own interests in favor of the interests of others']}",
abominate,{'Verb': ['find repugnant']},
abrogate,{'Verb': ['revoke formally']},
absoive,,
abstemious,"{'Adjective': ['sparing in consumption of especially food and drink', 'marked by temperance in indulgence']}",
abstinence,"{'Noun': ['the trait of abstaining (especially from alcohol', 'act or practice of refraining from indulging an appetite']}",
abut,{'Verb': ['lie adjacent to another or share a boundary']},
ucunpous,,
accuntuate,,
acclmnate,,
accretion,"{'Noun': ['an increase by natural growth or addition', 'something contributing to growth or increase', '(astronomy', '(biology', '(geology', 'as when a co-beneficiary dies or fails to meet some condition or rejects the inheritance']}",
acoustcs,,
acrophobia,{'Noun': ['a morbid fear of great heights']},
infinitum,,
addendum,{'Noun': ['textual matter that is added onto a publication; usually at the end']},
hoc,,
adjunct,"{'Noun': ['something added to another thing but not an essential part of it', 'a person who is an assistant or subordinate to another', 'a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence'], 'Adjective': ['furnishing added support', 'of or relating to a person who is subordinate to another']}",
adumomti,,
acgis,,
acsuval,,
affectatlon,,
afforest,{'Verb': ['establish a forest on previously unforested land']},
affray,"{'Noun': ['noisy quarrel', 'a noisy fight']}",
affront,"{'Noun': ['a deliberately offensive act or something producing the effect of deliberate disrespect'], 'Verb': ['treat, mention, or speak to rudely']}",
aggrandise,{'Verb': ['add details to']},
agnostic,"{'Noun': ['someone who is doubtful or noncommittal about something', 'a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist'], 'Adjective': ['of or pertaining to an agnostic or agnosticism', 'uncertain of all claims to knowledge']}",
agnostic,"{'Noun': ['someone who is doubtful or noncommittal about something', 'a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist'], 'Adjective': ['of or pertaining to an agnostic or agnosticism', 'uncertain of all claims to knowledge']}",
akimbo,"{'Adjective': ['(used of arms and legs'], 'Adverb': ['with hands on hips and elbows extending outward']}",
albeit,,
alchemy,"{'Noun': ['the way two individuals relate to each other', 'a pseudoscientific forerunner of chemistry in medieval times']}",
algorithm,{'Noun': ['a precise rule (or set of rules']},
allegory,"{'Noun': ['a short moral story (often with animal characters', 'a visible symbol representing an abstract idea', 'an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor']}",
allude,{'Verb': ['make a more or less disguised reference to']},
ego,"{'Noun': ['an inflated feeling of pride in your superiority to others', 'your consciousness of your own identity', '(psychoanalysis']}",
altercate,{'Verb': ['have a disagreement over something']},
ambidertrous,,
ambivalent,{'Adjective': ['uncertain or unable to decide about what course to follow']},
ameliorate,"{'Verb': ['to make better', 'get better']}",
amnesty,"{'Noun': ['a period during which offenders are exempt from punishment', 'a warrant granting release from punishment for an offense', 'the formal act of liberating someone'], 'Verb': ['grant a pardon to (a group of people']}",
amortise,{'Verb': ['liquidate gradually']},
anachronism,"{'Noun': ['something located at a time when it could not have existed or occurred', 'an artifact that belongs to another time', 'a person who seems to be displaced in time; who belongs to another age']}",
anagrm,,
anamnesis,"{'Noun': ['the case history of a medical patient as recalled by the patient', 'the ability to recall past occurrences']}",
anathema,"{'Noun': ['a detested person', 'a formal ecclesiastical curse accompanied by excommunication']}",
anchorite,{'Noun': ['one retired from society for religious reasons']},
androgynous,"{'Adjective': ['relating to or exhibiting both female and male sex organs but with a predominantly female appearance', 'having both male and female characteristics']}",
anecdote,{'Noun': ['short account of an incident (especially a biographical one']},
anodyne,"{'Noun': ['a medicine used to relieve pain'], 'Adjective': ['capable of relieving pain']}",
antagonism,"{'Noun': ['a state of deep-seated ill-will', 'the relation between opposing principles or forces or factors', 'an actively expressed feeling of dislike and hostility', '(biochemistry']}",
antecedent,"{'Noun': ['someone from whom you are descended (but usually more remote than a grandparent', 'a preceding occurrence or cause or event', 'anything that precedes something similar in time', 'the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun'], 'Adjective': ['preceding in time or order']}",
antipathy,"{'Noun': ['a feeling of intense dislike', 'the object of a feeling of intense aversion; something to be avoided']}",
antithesis,"{'Noun': ['exact opposite', 'the juxtaposition of contrasting words or ideas to give a feeling of balance']}",
anthology,{'Noun': ['a collection of selected literary passages']},
antithetical,{'Adjective': ['sharply contrasted in character or purpose']},
apartheld,,
apathy,"{'Noun': ['an absence of emotion or enthusiasm', 'the trait of lacking enthusiasm for or interest in things generally']}",
aphasia,{'Noun': ['inability to use or understand language (spoken or written']},
aplomb,{'Noun': ['great coolness and composure under strain']},
apogee,"{'Noun': ['a final climactic stage', 'apoapsis in Earth orbit; the point in its orbit where a satellite is at the greatest distance from the Earth']}",
apologue,{'Noun': ['a short moral story (often with animal characters']},
apparition,"{'Noun': ['a ghostly appearing figure', 'the appearance of a ghostlike figure', 'something existing in perception only', 'an act of appearing or becoming visible unexpectedly']}",
appendage,"{'Noun': ['an external body part that projects from the body', 'a natural prolongation or projection from a part of an organism either animal or plant', 'a part that is joined to something larger']}",
approbation,"{'Noun': ['official approval', 'official recognition or approval']}",
appurtenance,"{'Noun': ['equipment consisting of miscellaneous articles needed for a particular operation or sport etc.', 'a supplementary component that improves capability']}",
edro,,
archetype,{'Noun': ['something that serves as a model or a basis for making copies']},
ardour,"{'Noun': ['a feeling of strong eagerness (usually in favor of a person or cause', 'intense feeling of love', 'feelings of great warmth and intensity']}",
arduous,"{'Adjective': ['characterized by effort to the point of exhaustion; especially physical effort', 'taxing to the utmost; testing powers of endurance', 'difficult to accomplish; demanding considerable mental effort and skill']}",
arrant,{'Adjective': ['without qualification; used informally as (often pejorative']},
artifice,{'Noun': ['a deceptive maneuver (especially to avoid capture']},
ascribe,{'Verb': ['attribute or credit to']},
aseptic,{'Adjective': ['free of or using methods to keep free of pathological microorganisms']},
asinine,{'Adjective': ['extremely silly or stupid']},
askance,"{'Adjective': ['(used especially of glances'], 'Adverb': ['with suspicion or disapproval', 'with a side or oblique glance']}",
askew,"{'Adjective': ['turned or twisted toward one side'], 'Adverb': ['turned or twisted to one side']}",
asperity,"{'Noun': ['something hard to endure', 'harshness of manner']}",
aspuerate,,
assuaqe,,
astute,{'Adjective': ['marked by practical hardheaded intelligence']},
asunder,"{'Adjective': ['widely separated especially in space'], 'Adverb': ['into parts or pieces']}",
athwart,"{'Adverb': ['at right angles to the center line of a ship', 'at an oblique angle']}",
pos,"{'Noun': ['a radioactive metallic element that is similar to tellurium and bismuth; occurs in uranium ores but can be produced by bombarding bismuth with neutrons in a nuclear reactor', 'a noncommissioned officer in the Navy or Coast Guard with a rank comparable to sergeant in the Army', 'a European river; flows into the Adriatic Sea', 'an independent agency of the federal government responsible for mail delivery (and sometimes telecommunications']}",
argot,{'Noun': ['a characteristic language of a particular group (as among thieves']},
atrophy,"{'Noun': ['a decrease in size of an organ caused by disease or disuse', 'any weakening or degeneration (especially through lack of use'], 'Verb': ['undergo atrophy']}",
attcnuatc,,
attritlon,,
atypical,"{'Adjective': ['not representative of a group, class, or type', 'deviating from normal expectations; somewhat odd, strange, or abnormal']}",
augury,{'Noun': ['an event that is experienced as indicating important things to come']},
babel,"{'Noun': ['(Genesis 11:1-11', 'probably in Babylon', 'a confusion of voices and other sounds']}",
badinage,{'Noun': ['frivolous banter']},
bagatelle,"{'Noun': ['a light piece of music for piano', 'something of little value or significance', 'a table game in which short cues are used to knock balls into holes that are guarded by wooden pegs; penalties are incurred if the pegs are knocked over']}",
bauble,"{'Noun': ['a mock scepter carried by a court jester', 'cheap showy jewelry or ornament on clothing']}",
balderdash,{'Noun': ['trivial nonsense']},
baneful,"{'Adjective': ['exceedingly harmful', 'deadly or sinister']}",
banter,"{'Noun': ['light teasing repartee'], 'Verb': ['be silly or tease one another']}",
baritone,"{'Noun': ['a male singer', 'the second lowest adult male singing voice', 'the second lowest brass wind instrument'], 'Adjective': ['lower in range than tenor and higher than bass']}",
bastion,"{'Noun': ['a group that defends a principle', 'a stronghold into which people could go for shelter during a battle', 'projecting part of a rampart or other fortification']}",
bathos,"{'Noun': ['triteness or triviality of style', 'insincere pathos', 'a change from a serious subject to a disappointing one']}",
baulk,"{'Noun': ['the area on a billiard table behind the balkline', 'something immaterial that interferes with or delays action or progress', 'one of several parallel sloping beams that support a roof'], 'Verb': ['refuse to comply']}",
bawdy,"{'Noun': ['lewd or obscene talk or writing'], 'Adjective': ['humorously vulgar']}",
beatify,"{'Verb': ['fill with sublime emotion', 'make blessedly happy', 'declare (a dead person']}",
beatitude,"{'Noun': ['a state of supreme happiness', ""one of the eight sayings of Jesus at the beginning of the Sermon on the Mount; in Latin each saying begins with `beatus' (blessed""]}",
bedlam,"{'Noun': ['a state of extreme confusion and disorder', 'pejorative terms for an insane asylum']}",
bedraggle,"{'Verb': ['make wet and dirty, as from rain']}",
befuddle,"{'Verb': ['be confusing or perplexing to; cause to be unable to think clearly', 'make stupid with alcohol']}",
begrudge,"{'Verb': [""be envious of; set one's heart on"", 'wish ill or allow unwillingly']}",
beguile,"{'Verb': ['influence by slyness', 'attract; cause to be enamored']}",
behest,{'Noun': ['an authoritative command or request']},
belabor,"{'Verb': ['to work at or to absurd length', 'attack verbally with harsh criticism', 'beat soundly']}",
belcagucr,,
bellicose,{'Adjective': ['having or showing a ready disposition to fight']},
belligerent,"{'Noun': ['someone who fights (or is fighting'], 'Adjective': ['characteristic of an enemy or one eager to fight', 'engaged in war', 'or warring']}",
benison,{'Noun': ['a spoken blessing']},
bequeath,"{'Verb': [""leave or give by will after one's death""]}",
bequest,{'Noun': []},
besmirch,"{'Verb': ['charge falsely or with malicious intent; attack the good name and reputation of someone', 'smear so as to make dirty or stained']}",
bibliography,{'Noun': ['a list of writings with time and place of publication (such as the writings of a single author or the works referred to in preparing a document etc.']},
bibliophile,{'Noun': ['someone who loves (and usually collects']},
bilious,"{'Adjective': ['relating to or containing bile', 'suffering from or suggesting a liver disorder or gastric distress', 'irritable as if suffering from indigestion']}",
bilk,"{'Verb': ['cheat somebody out of what is due, especially money', 'hinder or prevent (the efforts, plans, or desires', 'evade payment to', 'escape, either physically or mentally']}",
blasphemy,"{'Noun': ['blasphemous language (expressing disrespect for God or for something sacred', 'blasphemous behavior; the act of depriving something of its sacred character']}",
bleary,"{'Adjective': ['tired to the point of exhaustion', 'indistinct or hazy in outline']}",
blithe,"{'Adjective': ['lacking or showing a lack of due concern', 'carefree and happy and lighthearted']}",
bluster,"{'Noun': ['noisy confusion and turbulence', 'a swaggering show of courage', 'a violent gusty wind', 'vain and empty boasting'], 'Verb': ['blow hard; be gusty, as of wind', 'show off', 'act in an arrogant, overly self-assured, or conceited manner']}",
bounteous,{'Adjective': ['given or giving freely']},
bourgeois,"{'Noun': ['a capitalist who engages in industrial commercial enterprise', 'a member of the middle class'], 'Adjective': ['(according to Marxist thought', 'conforming to the standards and conventions of the middle class', 'belonging to the middle class']}",
bovine,"{'Noun': ['any of various members of the genus Bos'], 'Adjective': ['of or relating to or belonging to the genus Bos (cattle', 'dull and slow-moving and stolid; like an ox']}",
braggart,"{'Noun': ['a very boastful and talkative person'], 'Adjective': ['exhibiting self-importance']}",
brevity,"{'Noun': ['the use of brief expressions', 'the attribute of being brief or fleeting']}",
broach,"{'Noun': ['a decorative pin worn by women'], 'Verb': ['bring up a topic for discussion']}",
brook,"{'Noun': ['a natural stream of water smaller than a river (and often a tributary of a river'], 'Verb': ['put up with something or somebody unpleasant']}",
browbeat,"{'Verb': ['be bossy towards', 'discourage or frighten with threats or a domineering manner; intimidate']}",
brusque,{'Adjective': ['marked by rude or peremptory shortness']},
bucolic,"{'Noun': ['a country person', 'a short poem descriptive of rural or pastoral life'], 'Adjective': ['(used with regard to idealized country life', 'relating to shepherds or herdsmen or devoted to raising sheep or cattle']}",
bulbous,"{'Adjective': ['shaped like a bulb', 'curving outward']}",
bulwark,"{'Noun': ['an embankment built around a space for defensive purposes', 'a fencelike structure around a deck (usually plural', 'a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away'], 'Verb': ['defend with a bulwark']}",
juovant,,
burnish,"{'Noun': ['the property of being smooth and shiny'], 'Verb': ['polish and make shiny']}",
buttress,"{'Noun': ['a support usually of stone or brick; supports the wall of a building'], 'Verb': ['reinforce with a buttress', 'make stronger or defensible']}",
cabal,"{'Noun': ['a clique (often secret', 'a plot to carry out some harmful or illegal act (especially a political plot'], 'Verb': ['engage in plotting or enter into a conspiracy, swear together']}",
cadaverous,"{'Adjective': ['very thin especially from disease or hunger or cold', 'of or relating to a cadaver or corpse']}",
cadence,"{'Noun': ['(prosody', 'the close of a musical section', 'a recurrent rhythmical series']}",
cadde,,
calligraphy,{'Noun': ['beautiful handwriting']},
callow,{'Adjective': ['young and inexperienced']},
calumny,"{'Noun': [""a false accusation of an offense or a malicious misrepresentation of someone's words or actions"", ""an abusive attack on a person's character or good name""]}",
canard,{'Noun': ['a deliberately misleading fabrication']},
cankcr,,
canonisc,,
canorous,{'Adjective': ['richly melodious']},
capacious,{'Adjective': ['large in capacity']},
capitulate,{'Verb': ['surrender under agreed conditions']},
capricious,"{'Adjective': ['changeable', 'determined by chance or impulse or whim rather than by necessity or reason']}",
captious,{'Adjective': ['tending to find and call attention to faults']},
carmine,"{'Noun': ['a variable color averaging a vivid red'], 'Verb': ['color carmine'], 'Adjective': ['of a color at the end of the color spectrum (next to orange']}",
carnage,{'Noun': ['the savage and excessive killing of many people']},
carnal,"{'Adjective': ['marked by the appetites and passions of the body', 'of or relating to the body or flesh']}",
carp,"{'Noun': ['the lean flesh of a fish that is often farmed; can be baked or braised', 'any of various freshwater fish of the family Cyprinidae'], 'Verb': ['raise trivial objections']}",
carrion,{'Noun': ['the dead and rotting body of an animal; unfit for human food']},
cartel,{'Noun': ['a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service']},
catastrophe,"{'Noun': ['an event resulting in great loss and misfortune', 'a state of extreme (usually irremediable', ""a sudden violent change in the earth's surface""]}",
catatonic,{'Adjective': ['characterized by catatonia especially either rigidity or extreme laxness of limbs']},
catechise,"{'Verb': ['give religious instructions to', 'examine through questioning and answering']}",
calcus,,
cavalcada,,
cavll,,
centurion,{'Noun': ['(ancient Rome']},
cercbrate,,
charahn,,
chastisement,"{'Noun': ['verbal punishment', 'a rebuke for making a mistake']}",
chauvinist,"{'Noun': ['a person with a prejudiced belief in the superiority of his or her own kind', 'an extreme bellicose nationalist']}",
chequered,"{'Verb': ['mark into squares or draw squares on; draw crossed lines on', 'variegate with different colors, shades, or patterns'], 'Adjective': ['patterned with alternating squares of color']}",
choleric,"{'Adjective': ['easily moved to anger', 'quickly aroused to anger', 'characterized by anger']}",
churl,"{'Noun': ['a crude uncouth ill-bred person lacking culture or refinement', 'a selfish person who is unwilling to give or spend', 'a bad-tempered person']}",
closure,"{'Noun': ['approaching a particular destination; a coming closer; a narrowing of a gap', 'a rule for limiting or ending debate in a deliberative body', 'a Gestalt principle of organization holding that there is an innate tendency to perceive incomplete objects as complete and to close or fill gaps and to perceive asymmetric stimuli as symmetric', 'something settled or resolved; the outcome of decision making', 'an obstruction in a pipe or tube', 'the act of blocking', 'termination of operations'], 'Verb': ['terminate debate by calling for a vote']}",
wation,,
llescing,,
coddle,"{'Verb': ['treat with excessive indulgence', 'cook in nearly boiling water']}",
coeval,"{'Noun': ['a person of nearly the same age as another'], 'Adjective': ['of the same period']}",
cogent,{'Adjective': ['powerfully persuasive']},
cognomen,"{'Noun': [""a familiar name for a person (often a shortened version of a person's given name"", ""the name used to identify the members of a family (as distinguished from each member's given name""]}",
coherent,"{'Adjective': ['marked by an orderly, logical, and aesthetically consistent relation of parts', 'capable of thinking and expressing yourself in a clear and consistent manner', '(physics', 'sticking together']}",
collateral,"{'Noun': ['a security pledged for the repayment of a loan'], 'Adjective': ['descended from a common ancestor but through different lines', 'serving to support or corroborate', 'additional but secondary; auxiliary;', 'situated or running side by side', 'occurring with or following as a consequence']}",
comity,{'Noun': ['a state or atmosphere of harmony or mutual civility and respect']},
commemorate,"{'Verb': ['celebrate by some ceremony or observation', 'call to remembrance; keep alive the memory of someone or something, as in a ceremony', 'be or provide a memorial to a person or an event']}",
commodious,"{'Adjective': [""large and roomy (`convenient' is archaic in this sense""]}",
complaisance,{'Noun': ['a disposition or tendency to yield to the will of others']},
complement,"{'Noun': ['a word or phrase used to complete a grammatical construction', 'a complete number or quantity', 'number needed to make up a whole force', 'something added to complete or embellish or make perfect', 'one of a series of enzymes in the blood serum that are part of the immune response', 'either of two parts that mutually complete each other'], 'Verb': ['make complete or perfect; supply what is wanting or form the complement to']}",
compliment,"{'Noun': ['a remark (or act'], 'Verb': ['say something to someone that expresses praise', 'express respect or esteem for']}",
conciliatory,"{'Adjective': ['making or willing to make concessions', 'intended to placate']}",
concomitant,"{'Noun': ['an event or situation that happens at the same time as or in connection with another'], 'Adjective': ['occurring with or following as a consequence']}",
condescend,"{'Verb': ['behave in a patronizing and condescending manner', ""do something that one considers to be below one's dignity"", 'debase oneself morally, act in an undignified, unworthy, or dishonorable way', 'treat condescendingly']}",
chary,{'Adjective': ['characterized by great caution and wariness']},
chivy,{'Verb': ['annoy continually or chronically']},
congcal,,
congenltal,,
conjecture,"{'Noun': ['a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence', 'a message expressing an opinion based on incomplete evidence', 'reasoning that involves the formation of conclusions from incomplete evidence'], 'Verb': ['to believe especially on uncertain or tentative grounds']}",
connoissaur,,
connotation,"{'Noun': ['what you must know in order to determine the reference of an expression', 'an idea that is implied or suggested']}",
connubiai,,
conscientious,"{'Adjective': ['characterized by extreme care and great effort', 'guided by or in accordance with conscience or sense of right and wrong']}",
console,"{'Noun': ['a small table fixed to a wall or designed to stand against a wall', 'a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system', 'an ornamental scroll-shaped bracket (especially one used to support a wall fixture', 'housing for electronic instruments, as radio or television'], 'Verb': ['give moral or emotional strength to']}",
conspectus,{'Noun': ['an overall summary']},
consternation,{'Noun': ['fear resulting from the awareness of danger']},
consummate,"{'Verb': ['fulfill sexually', 'make perfect; bring to perfection'], 'Adjective': ['having or revealing supreme mastery or skill', 'perfect and complete in every respect; having all necessary qualities', 'without qualification; used informally as (often pejorative']}",
condemn,"{'Verb': ['express strong disapproval of', 'declare or judge unfit for use or habitation', 'compel or force into a particular state or activity', 'demonstrate the guilt of (someone', 'pronounce a sentence on (somebody', 'appropriate (property']}",
contemptible,{'Adjective': ['deserving of contempt or scorn']},
contemptuous,{'Adjective': ['expressing extreme contempt']},
contentious,"{'Adjective': ['inclined or showing an inclination to dispute or disagree, even to engage in law suits', 'involving or likely to cause controversy']}",
contiguous,"{'Adjective': ['very close or connected in space or time', 'connecting without a break; within a common boundary', 'having a common boundary or edge; abutting; touching']}",
contingent,"{'Noun': ['a gathering of persons representative of some larger group', 'a temporary military unit'], 'Adjective': ['possible but not certain to occur', 'being determined by conditions or circumstances that follow', 'uncertain because of uncontrollable circumstances']}",
convivial,{'Adjective': ['occupied with or fond of the pleasures of good company']},
convoluten,,
cordon,"{'Noun': ['a series of sentinels or of military posts enclosing or guarding some place or thing', 'cord or ribbon worn as an insignia of honor or rank', 'adornment consisting of an ornamental ribbon or cord']}",
corporez,,
corpulent,{'Adjective': ['excessively fat']},
counterail,,
covert,"{'Noun': ['a flock of coots', 'a covering that serves to conceal or shelter something'], 'Adjective': ['secret or hidden; not openly practiced or engaged in or shown or avowed', '(of a wife']}",
cozen,"{'Verb': ['be false to; be dishonest with', 'act with artful deceit', 'cheat or trick']}",
cravat,{'Noun': ['neckwear worn in a slipknot with long ends overlapping vertically in front']},
craven,"{'Noun': ['an abject coward'], 'Adjective': ['lacking even the rudiments of courage; abjectly fearful']}",
credulovs,,
